month,product_name,brand,category,total_sales,total_revenue,status
2023-06,Diesel Men's Thavar Skinny Stone Wash Straight Leg Jean,Diesel,Jeans,2,391.44,Complete
2023-07,Carhartt Mens Work Camo Active Jacket,Carhartt,Outerwear & Coats,2,259.98,Complete
2023-08,Diesel Men's K-Pilinani Sweater,Diesel,Sweaters,2,656.0,Complete
2023-09,BGSD Women's New Zealand Lambskin Leather Hooded Parka Coat with Fox Fur Trim in Black or Brown - Misses & Plus,BGSD,Outerwear & Coats,2,639.98,Complete
2023-10,McGinn Women's Clara Textured Blazer,McGinn,Blazers & Jackets,2,660.0,Complete
2023-11,True Religion Men's Ricky Straight Jean,True Religion,Jeans,2,412.0,Complete
2023-12,Canada Goose Men's Langford Parka,Canada Goose,Outerwear & Coats,2,1389.9,Complete
2024-01,Bottoms Out Men's Plaid Sleep Jam,Bottoms Out,Sleep & Lounge,4,100.0,Complete
2024-02,Not Your Daughter's Jeans Women's Sheri Skinny Twill Pastels,Not Your Daughter's Jeans,Jeans,3,330.0,Complete
2024-03,Diesel Women's Getlegg Jean,Diesel,Jeans,3,504.0,Complete
2024-04,Pink Cheetah Printed Opaque Footless Tights Leggings,Luxury Divas,Leggings,3,38.97,Complete
2024-05,Ralph Lauren Mens Gray Black Houndstooth Wool Sport Coat Jacket,Ralph Lauren,Suits & Sport Coats,3,359.97,Complete
2024-06,Anne Klein Women's Tuxedo Skirt,Anne Klein,Skirts,3,267.0,Complete
2024-07,Joe's Jeans Men's Straight Leg Classic Fit,Joe's Jeans,Jeans,3,567.0,Complete
2024-08,O'Neill Men's Contact Short,O'Neill,Shorts,2,79.0,Complete
