month_year,product_id,product_name,sales,cost,profit
2022-07,7836,Diesel Women's De-Nix Jacket,856.0,303.88000197708607,552.1199980229139
2022-08,8398,The North Face Denali Down Womens Jacket 2013,903.0,437.05200099572534,465.94799900427466
2022-09,2723,The North Face Denali Down Womens Jacket 2013,903.0,395.5140009149909,507.4859990850091
2022-10,2793,adidas Women's adiFIT Slim Pant,1806.0,751.296002886258,1054.703997113742
2022-11,24447,Darla,999.0,404.5950011909008,594.4049988090992
2022-12,24283,The North Face Nuptse 2 Jacket - Noah Green/TNF Black,903.0,370.23000181652606,532.769998183474
2022-12,18656,JORDAN DURASHEEN SHORT MENS 404309-109,903.0,370.23000181652606,532.769998183474
2023-01,2796,ASCIS Cushion Low Socks (Pack of 3),903.0,373.8420015675947,529.1579984324053
2023-02,24447,Darla,999.0,404.5950011909008,594.4049988090992
2023-03,15486,NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,903.0,420.7979983314872,482.2020016685128
2023-04,24341,Nobis Yatesy Parka,950.0,381.90000243484974,568.0999975651503
2023-05,23654,The North Face Apex Bionic Soft Shell Jacket - Men's,903.0,363.0060023143888,539.9939976856112
2023-06,10453,NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,2709.0,1536.0029994752258,1172.9970005247742
2023-07,24447,Darla,999.0,404.5950011909008,594.4049988090992
2023-08,24083,Diesel Men's Lisardo Jacket,1516.0,670.0720021771266,845.9279978228734
2023-09,7804,MiH Jeans Women's Aztec Jacket,1485.0,509.3550032749772,975.6449967250228
2023-10,23654,The North Face Apex Bionic Soft Shell Jacket - Men's,903.0,363.0060023143888,539.9939976856112
2023-11,17094,The North Face Apex Bionic Soft Shell Jacket - Men's,1806.0,1049.286000430584,756.713999569416
2023-12,15486,NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,1806.0,841.5959966629744,964.4040033370256
