month,product_name,brand,category,total_sales,total_revenue,status
2023-05,Ray-Ban 0RB3498 Rectangular Sunglasses,Ray-Ban,Accessories,2,300.0,Complete
2023-06,NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,Nike,Intimates,2,1806.0,Complete
2023-07,Nike Tri Unisuit Male,Nike,Swim,2,271.98,Complete
2023-08,Marmot Zeus Jacket - Men's,Marmot,Outerwear & Coats,2,350.0,Complete
2023-09,Diesel Men's Shioner Skinny Straight Leg Jean,Diesel,Jeans,2,551.95,Complete
2023-10,Electric Standard Volt Full-Zip Hoodie - Men's,Electric,Fashion Hoodies & Sweatshirts,3,173.85,Complete
2023-11,Comfort Zone Blue Striped Flannel Pajamas for Men,Comfort Zone,Sleep & Lounge,3,50.97,Complete
2023-12,Bjorn Borg Men's Side Stetch Solid Boxer Brief,Bjorn Borg,Underwear,3,75.0,Complete
2024-01,Woolrich Arctic Parka DF,Woolrich,Outerwear & Coats,2,1980.0,Complete
2024-02,Emporio Armani Men's All Over Eagle Stretch Brief,Emporio Armani,Underwear,3,78.0,Complete
2024-03,True Religion Men's Ricky Straight Leg Jean,True Religion,Jeans,3,704.0,Complete
2024-04,Frederick's of Hollywood Three-Piece Pajama Set Womens,Frederick's of Hollywood,Sleep & Lounge,3,126.0,Complete
2024-05,Joe's Jeans Men's Slim Fit Straight Leg Brixton,Joe's Jeans,Jeans,3,587.0,Complete
2024-06,Lucky Brand Mens Men's 361 Vintage Straight Denim Jean,Lucky Brand,Jeans,3,297.0,Complete
