month,year,Product_category,TPV,TPO,Lagged_TPV,Lagged_TPO,Revenue_growth,Order_growth,Total_cost,Total_profit,Profit_to_cost_ratio
03,2021,Intimates,614.8300013542175,18,646.3100023269653,15,-4.87,20.0,42351.29,-41736.46,1.45
03,2019,Pants,35.0,1,,,,,28588.22,-28553.22,0.12
08,2019,Active,276.3499975204468,8,469.59999656677246,5,-41.15,60.0,30389.43,-30113.08,0.91
04,2021,Underwear,254.9600019454956,9,313.36000061035156,10,-18.64,-10.0,13897.71,-13642.75,1.83
06,2022,Underwear,799.8100032806396,29,440.23999881744385,18,81.68,61.11,13897.71,-13097.9,5.75
01,2021,Sleep & Lounge,1371.6600036621094,24,858.7200078964233,19,59.73,26.32,42903.37,-41531.71,3.2
08,2020,Accessories,447.5,12,489.6100025177002,9,-8.6,33.33,26603.63,-26156.13,1.68
03,2019,Shorts,13.710000038146973,1,45.0,1,-69.53,0.0,40461.14,-40447.43,0.03
04,2020,Shorts,525.3900012969971,11,465.4099979400635,8,12.89,37.5,40461.14,-39935.75,1.3
11,2021,Shorts,1558.2700099945068,29,834.0500030517578,20,86.83,45.0,40461.14,-38902.87,3.85
08,2022,Shorts,1052.2700023651123,27,2208.490005493164,46,-52.35,-41.3,40461.14,-39408.87,2.6
11,2019,Socks & Hosiery,31.899999618530277,2,46.989999771118164,3,-32.11,-33.33,4486.09,-4454.19,0.71
11,2022,Socks & Hosiery,172.8499984741211,15,203.32999897003174,12,-14.99,25.0,4486.09,-4313.24,3.85
04,2021,Outerwear & Coats,2512.769989013672,15,1753.4399948120117,15,43.31,0.0,92269.41,-89756.64,2.72
11,2019,Dresses,134.30999755859375,3,28.899999618530277,1,364.74,200.0,36223.85,-36089.54,0.37
12,2020,Socks,228.26999950408936,12,126.3500006198883,8,80.66,50.0,11152.46,-10924.19,2.05
12,2020,Suits & Sport Coats,411.94000244140625,3,730.1499938964844,8,-43.58,-62.5,37540.93,-37128.99,1.1
09,2022,Suits & Sport Coats,3439.870023727417,23,2308.479995727539,19,49.01,21.05,37540.93,-34101.06,9.16
06,2020,Swim,882.3700046539307,12,518.4499988555908,9,70.19,33.33,51938.09,-51055.72,1.7
06,2020,Jeans,1250.6300010681152,11,2184.630006790161,21,-42.75,-47.62,104775.99,-103525.36,1.19
05,2020,Pants & Capris,117.01000022888184,4,323.38000106811523,5,-63.82,-20.0,17698.46,-17581.45,0.66
12,2021,Pants & Capris,385.8600015640259,10,243.38000297546387,6,58.54,66.67,17698.46,-17312.6,2.18
04,2022,Pants & Capris,1322.6400060653687,11,254.29000091552734,7,420.13,57.14,17698.46,-16375.82,7.47
03,2020,Maternity,360.95999908447266,7,252.43999862670898,7,42.99,0.0,20134.59,-19773.63,1.79
09,2020,Maternity,245.00000047683716,6,211.93000030517578,5,15.6,20.0,20134.59,-19889.59,1.22
04,2020,Suits,149.0,1,225.98000717163086,2,-34.06,-50.0,13194.37,-13045.37,1.13
12,2021,Suits,145.0,1,712.8699913024902,7,-79.66,-85.71,13194.37,-13049.37,1.1
03,2020,Fashion Hoodies & Sweatshirts,375.7200012207031,9,532.069995880127,7,-29.39,28.57,51880.44,-51504.72,0.72
04,2020,Fashion Hoodies & Sweatshirts,581.7000045776367,13,375.7200012207031,9,54.82,44.44,51880.44,-51298.74,1.12
02,2021,Fashion Hoodies & Sweatshirts,1762.2000045776367,29,827.7900047302246,14,112.88,107.14,51880.44,-50118.24,3.4
10,2020,Blazers & Jackets,378.4400053024292,5,56.18000030517578,2,573.62,150.0,19697.3,-19318.86,1.92
06,2021,Blazers & Jackets,929.569995880127,5,561.4700021743774,7,65.56,-28.57,19697.3,-18767.73,4.72
10,2019,Pants,177.38999938964844,3,266.87000274658203,5,-33.53,-40.0,28588.22,-28410.83,0.62
05,2020,Pants,337.0200004577637,6,434.51000213623047,9,-22.44,-33.33,28588.22,-28251.2,1.18
08,2022,Pants,1955.3100185394287,30,934.4800033569336,19,109.24,57.89,28588.22,-26632.91,6.84
10,2022,Pants,1564.9000091552734,31,1835.3300046920776,28,-14.73,10.71,28588.22,-27023.32,5.47
03,2021,Active,850.8299980163574,15,612.680004119873,16,38.87,-6.25,30389.43,-29538.6,2.8
05,2021,Active,410.5800037384033,10,493.9899969100952,16,-16.88,-37.5,30389.43,-29978.85,1.35
10,2021,Active,1344.7300090789795,28,2342.139997959137,16,-42.59,75.0,30389.43,-29044.7,4.42
11,2019,Sweaters,454.31999588012695,6,203.85000610351562,2,122.87,200.0,62684.14,-62229.82,0.72
06,2021,Sweaters,1375.5300045013428,20,2414.149984359741,22,-43.02,-9.09,62684.14,-61308.61,2.19
09,2021,Sweaters,1928.9499988555908,24,1723.8899898529053,22,11.9,9.09,62684.14,-60755.19,3.08
05,2021,Underwear,290.95999908447266,12,254.9600019454956,9,14.12,33.33,13897.71,-13606.75,2.09
10,2021,Sleep & Lounge,1468.9700059890747,32,1286.0300102233887,27,14.23,18.52,42903.37,-41434.4,3.42
08,2019,Accessories,178.93999862670898,3,47.80999946594238,3,274.27,0.0,26603.63,-26424.69,0.67
03,2022,Accessories,1012.5099928379059,30,866.0099997520447,21,16.92,42.86,26603.63,-25591.12,3.81
10,2020,Shorts,503.8000030517578,12,319.6299991607666,7,57.62,71.43,40461.14,-39957.34,1.25
08,2021,Shorts,1747.6600093841553,36,1056.8600025177002,23,65.36,56.52,40461.14,-38713.48,4.32
03,2020,Socks & Hosiery,15.390000343322756,2,12.989999771118164,1,18.48,100.0,4486.09,-4470.7,0.34
07,2021,Socks & Hosiery,269.8499994277954,14,105.77000045776367,7,155.13,100.0,4486.09,-4216.24,6.02
05,2022,Socks & Hosiery,231.72999954223633,11,230.71999955177307,13,0.44,-15.38,4486.09,-4254.36,5.17
02,2020,Outerwear & Coats,1087.1299896240234,10,1627.9200057983398,8,-33.22,25.0,92269.41,-91182.28,1.18
12,2021,Dresses,1996.379997253418,20,945.5300073623657,12,111.14,66.67,36223.85,-34227.47,5.51
06,2020,Socks,106.61999893188477,7,26.0,2,310.08,250.0,11152.46,-11045.84,0.96
08,2020,Socks,260.4099998474121,11,162.72999954223633,8,60.03,37.5,11152.46,-10892.05,2.34
10,2022,Socks,395.45000076293945,24,529.9000005722046,28,-25.37,-14.29,11152.46,-10757.01,3.55
01,2022,Suits & Sport Coats,2688.2200050354004,16,1702.5399894714355,15,57.89,6.67,37540.93,-34852.71,7.16
05,2022,Jeans,4360.590003967285,42,5340.89999961853,48,-18.35,-12.5,104775.99,-100415.4,4.16
10,2022,Jeans,5887.510011672974,58,5593.68000793457,45,5.25,28.89,104775.99,-98888.48,5.62
07,2022,Jumpsuits & Rompers,151.30000019073486,4,149.6800022125244,4,1.08,0.0,3912.26,-3760.96,3.87
10,2020,Skirts,359.94000244140625,3,86.98999786376953,1,313.77,200.0,7656.76,-7296.82,4.7
03,2021,Skirts,71.45999908447266,2,26.899999618530277,1,165.65,100.0,7656.76,-7585.3,0.93
11,2021,Skirts,228.6599998474121,5,125.45000076293945,4,82.27,25.0,7656.76,-7428.1,2.99
03,2019,Plus,64.98000144958496,1,,,,,14595.76,-14530.78,0.45
12,2019,Plus,155.92000102996826,5,71.92000198364258,3,116.8,66.67,14595.76,-14439.84,1.07
12,2020,Maternity,751.3299980163574,17,91.97999954223633,3,716.84,466.67,20134.59,-19383.26,3.73
06,2021,Maternity,562.5299987792969,12,575.7299919128418,11,-2.29,9.09,20134.59,-19572.06,2.79
03,2021,Suits,657.0900192260742,5,566.7200012207031,3,15.95,66.67,13194.37,-12537.28,4.98
07,2021,Suits,159.0,1,256.0,2,-37.89,-50.0,13194.37,-13035.37,1.21
08,2022,Suits,593.2299976348877,5,665.9599990844725,6,-10.92,-16.67,13194.37,-12601.14,4.5
09,2019,Fashion Hoodies & Sweatshirts,236.86000061035156,4,470.89999771118164,6,-49.7,-33.33,51880.44,-51643.58,0.46
04,2022,Fashion Hoodies & Sweatshirts,1660.6799907684326,33,2188.9000062942505,41,-24.13,-19.51,51880.44,-50219.76,3.2
02,2020,Leggings,41.00999975204468,3,14.43000030517578,1,184.2,200.0,9184.11,-9143.1,0.45
05,2021,Leggings,59.8799991607666,4,60.46000099182129,3,-0.96,33.33,9184.11,-9124.23,0.65
02,2019,Blazers & Jackets,12.5600004196167,1,,,,,19697.3,-19684.74,0.06
08,2021,Blazers & Jackets,711.0500116348267,7,526.6999988555908,7,35.0,0.0,19697.3,-18986.25,3.61
07,2021,Intimates,764.3499975204468,23,807.1800031661987,21,-5.31,9.52,42351.29,-41586.94,1.8
08,2021,Intimates,1313.8599963188171,34,764.3499975204468,23,71.89,47.83,42351.29,-41037.43,3.1
04,2020,Pants,434.51000213623047,9,353.6200008392334,7,22.87,28.57,28588.22,-28153.71,1.52
03,2022,Pants,1740.9599990844727,26,1287.4600048065186,17,35.22,52.94,28588.22,-26847.26,6.09
06,2019,Active,112.9900016784668,2,24.989999771118164,1,352.14,100.0,30389.43,-30276.44,0.37
02,2022,Active,1196.4700031280518,29,1061.3399982452393,26,12.73,11.54,30389.43,-29192.96,3.94
08,2022,Active,2009.419994354248,37,901.1199979782104,21,122.99,76.19,30389.43,-28380.01,6.61
08,2019,Underwear,22.1299991607666,1,35.19000053405762,2,-37.11,-50.0,13897.71,-13875.58,0.16
10,2019,Underwear,135.0,4,95.98999977111816,4,40.64,0.0,13897.71,-13762.71,0.97
04,2019,Accessories,205.91000175476074,5,,,,,26603.63,-26397.72,0.77
03,2020,Accessories,491.8400025367737,7,535.3299961090088,9,-8.12,-22.22,26603.63,-26111.79,1.85
07,2021,Accessories,1538.740005493164,33,798.0799970626831,15,92.81,120.0,26603.63,-25064.89,5.78
08,2022,Accessories,1616.3799948692322,38,1969.3699972629547,34,-17.92,11.76,26603.63,-24987.25,6.08
02,2020,Shorts,248.88000106811523,7,345.41000175476074,6,-27.95,16.67,40461.14,-40212.26,0.62
11,2020,Shorts,314.9900016784668,10,503.8000030517578,12,-37.48,-16.67,40461.14,-40146.15,0.78
12,2020,Shorts,736.4000053405762,16,314.9900016784668,10,133.79,60.0,40461.14,-39724.74,1.82
02,2022,Shorts,1084.559998512268,29,613.5100049972534,17,76.78,70.59,40461.14,-39376.58,2.68
03,2022,Shorts,1596.9400081634521,34,1084.559998512268,29,47.24,17.24,40461.14,-38864.2,3.95
01,2020,Socks & Hosiery,25.88999938964844,2,31.109999656677246,2,-16.78,0.0,4486.09,-4460.2,0.58
10,2019,Dresses,28.899999618530277,1,165.0,1,-82.48,0.0,36223.85,-36194.95,0.08
09,2022,Dresses,2032.3200025558472,21,1307.4600009918213,17,55.44,23.53,36223.85,-34191.53,5.61
12,2019,Socks,85.42000007629395,5,67.76999950408936,4,26.04,25.0,11152.46,-11067.04,0.77
01,2021,Socks,177.30000114440918,8,228.26999950408936,12,-22.33,-33.33,11152.46,-10975.16,1.59
07,2021,Socks,135.6599988937378,9,168.5,10,-19.49,-10.0,11152.46,-11016.8,1.22
04,2020,Suits & Sport Coats,1120.3599948883057,6,35.95000076293945,1,3016.44,500.0,37540.93,-36420.57,2.98
01,2021,Suits & Sport Coats,1286.9399757385254,10,411.94000244140625,3,212.41,233.33,37540.93,-36253.99,3.43
09,2021,Suits & Sport Coats,1026.0999956130981,11,2498.5,13,-58.93,-15.38,37540.93,-36514.83,2.73
06,2019,Jeans,228.0,3,184.56999969482422,4,23.53,-25.0,104775.99,-104547.99,0.22
01,2020,Jeans,1700.939998626709,16,1432.010004043579,13,18.78,23.08,104775.99,-103075.05,1.62
08,2020,Jeans,2565.3000144958496,20,1626.600009918213,15,57.71,33.33,104775.99,-102210.69,2.45
04,2021,Jeans,1708.5300159454346,19,1243.5200023651123,12,37.39,58.33,104775.99,-103067.46,1.63
01,2022,Jumpsuits & Rompers,160.80999946594238,4,131.86999988555908,3,21.95,33.33,3912.26,-3751.45,4.11
02,2022,Jumpsuits & Rompers,26.5,1,160.80999946594238,4,-83.52,-75.0,3912.26,-3885.76,0.68
12,2022,Jumpsuits & Rompers,17.6299991607666,1,246.3300018310547,4,-92.84,-75.0,3912.26,-3894.63,0.45
01,2022,Skirts,504.9099998474121,8,292.25000190734863,7,72.77,14.29,7656.76,-7151.85,6.59
08,2020,Pants & Capris,321.0300006866455,5,357.0799980163574,8,-10.1,-37.5,17698.46,-17377.43,1.81
10,2020,Pants & Capris,104.41999816894531,3,91.52999687194824,2,14.08,50.0,17698.46,-17594.04,0.59
11,2022,Pants & Capris,394.2000026702881,12,1118.950002670288,19,-64.77,-36.84,17698.46,-17304.26,2.23
07,2022,Plus,591.4899983406067,17,403.90000200271606,16,46.44,6.25,14595.76,-14004.27,4.05
04,2021,Maternity,522.699996471405,9,498.00000190734863,12,4.96,-25.0,20134.59,-19611.89,2.6
03,2020,Suits,225.98000717163086,2,95.98999786376952,1,135.42,100.0,13194.37,-12968.39,1.71
11,2021,Suits,712.8699913024902,7,409.5999984741211,3,74.04,133.33,13194.37,-12481.5,5.4
08,2019,Fashion Hoodies & Sweatshirts,470.89999771118164,6,314.07999992370605,7,49.93,-14.29,51880.44,-51409.54,0.91
01,2021,Fashion Hoodies & Sweatshirts,827.7900047302246,14,1069.9500045776367,20,-22.63,-30.0,51880.44,-51052.65,1.6
03,2021,Leggings,327.81999826431274,6,67.92999935150146,3,382.59,100.0,9184.11,-8856.29,3.57
07,2021,Leggings,134.88000011444092,7,204.19999885559082,7,-33.95,0.0,9184.11,-9049.23,1.47
03,2022,Leggings,240.8799991607666,10,252.92000246047974,8,-4.76,25.0,9184.11,-8943.23,2.62
03,2020,Blazers & Jackets,358.47999572753906,2,110.90999984741211,2,223.22,0.0,19697.3,-19338.82,1.82
09,2022,Blazers & Jackets,1542.1199970245361,18,1197.8300094604492,13,28.74,38.46,19697.3,-18155.18,7.83
04,2022,Pants,1669.010004043579,25,1740.9599990844727,26,-4.13,-3.85,28588.22,-26919.21,5.84
06,2021,Active,662.209997177124,17,410.5800037384033,10,61.29,70.0,30389.43,-29727.22,2.18
11,2022,Sweaters,2351.5000190734863,36,3153.440004348755,37,-25.43,-2.7,62684.14,-60332.64,3.75
02,2019,Underwear,11.989999771118164,1,,,,,13897.71,-13885.72,0.09
09,2019,Underwear,95.98999977111816,4,22.1299991607666,1,333.76,300.0,13897.71,-13801.72,0.69
02,2020,Underwear,192.14999961853027,7,241.29999923706055,10,-20.37,-30.0,13897.71,-13705.56,1.38
08,2020,Underwear,195.98999977111816,7,128.97999954223633,5,51.95,40.0,13897.71,-13701.72,1.41
11,2021,Underwear,481.210000038147,17,379.23999977111816,14,26.89,21.43,13897.71,-13416.5,3.46
10,2019,Sleep & Lounge,250.45999908447266,8,296.98000144958496,5,-15.66,60.0,42903.37,-42652.91,0.58
06,2020,Sleep & Lounge,980.9499969482422,16,557.589994430542,15,75.93,6.67,42903.37,-41922.42,2.29
07,2020,Sleep & Lounge,325.1100044250488,10,980.9499969482422,16,-66.86,-37.5,42903.37,-42578.26,0.76
09,2020,Sleep & Lounge,870.6400051116943,16,1067.0500106811523,14,-18.41,14.29,42903.37,-42032.73,2.03
11,2020,Sleep & Lounge,618.3600044250488,16,371.89999771118164,8,66.27,100.0,42903.37,-42285.01,1.44
12,2022,Sleep & Lounge,2526.5200328826904,50,2179.840008020401,44,15.9,13.64,42903.37,-40376.85,5.89
07,2019,Accessories,47.80999946594238,3,39.900001525878906,1,19.82,200.0,26603.63,-26555.82,0.18
03,2021,Accessories,1039.3799896240234,19,269.3499994277954,12,285.88,58.33,26603.63,-25564.25,3.91
06,2022,Shorts,1249.6200017929077,29,1350.1800060272217,36,-7.45,-19.44,40461.14,-39211.52,3.09
08,2020,Socks & Hosiery,112.96000003814697,7,9.949999809265137,1,1035.28,600.0,4486.09,-4373.13,2.52
10,2021,Socks & Hosiery,163.7200002670288,9,185.74999904632568,10,-11.86,-10.0,4486.09,-4322.37,3.65
06,2021,Outerwear & Coats,2394.280002593994,17,2719.180000305176,18,-11.95,-5.56,92269.41,-89875.13,2.59
03,2022,Outerwear & Coats,2996.9499912261963,24,1942.150001525879,18,54.31,33.33,92269.41,-89272.46,3.25
04,2022,Outerwear & Coats,2997.6399936676025,20,2996.9499912261963,24,0.02,-16.67,92269.41,-89271.77,3.25
02,2022,Dresses,1107.1000032424927,15,1251.7600116729736,18,-11.56,-16.67,36223.85,-35116.75,3.06
01,2021,Swim,885.6500110626221,12,914.3399982452393,12,-3.14,0.0,51938.09,-51052.44,1.71
07,2021,Swim,1766.349998474121,26,850.9199981689453,16,107.58,62.5,51938.09,-50171.74,3.4
06,2022,Jeans,4883.650014877319,48,4360.590003967285,42,12.0,14.29,104775.99,-99892.34,4.66
03,2021,Tops & Tees,453.92000007629395,13,636.8400025367737,21,-28.72,-38.1,43226.71,-42772.79,1.05
02,2022,Tops & Tees,1499.1100025177002,25,1817.7900142669678,42,-17.53,-40.48,43226.71,-41727.6,3.47
04,2021,Jumpsuits & Rompers,39.390000343322754,2,141.8400001525879,4,-72.23,-50.0,3912.26,-3872.87,1.01
09,2022,Skirts,652.5999994277954,15,288.44000244140625,7,126.25,114.29,7656.76,-7004.16,8.52
03,2022,Pants & Capris,254.29000091552734,7,141.7899990081787,5,79.34,40.0,17698.46,-17444.17,1.44
07,2019,Plus,25.0,1,31.979999542236328,2,-21.83,-50.0,14595.76,-14570.76,0.17
11,2020,Maternity,91.97999954223633,3,299.9699993133545,5,-69.34,-40.0,20134.59,-20042.61,0.46
07,2019,Fashion Hoodies & Sweatshirts,314.07999992370605,7,105.43000030517578,3,197.9,133.33,51880.44,-51566.36,0.61
06,2022,Fashion Hoodies & Sweatshirts,2370.969985961914,43,2073.1400051116943,38,14.37,13.16,51880.44,-49509.47,4.57
02,2020,Blazers & Jackets,110.90999984741211,2,391.0900001525879,4,-71.64,-50.0,19697.3,-19586.39,0.56
06,2019,Intimates,22.0,1,151.89000129699707,4,-85.52,-75.0,42351.29,-42329.29,0.05
11,2019,Intimates,106.8700008392334,3,273.2300052642822,7,-60.89,-57.14,42351.29,-42244.42,0.25
08,2019,Pants,54.9900016784668,1,120.97000312805176,3,-54.54,-66.67,28588.22,-28533.23,0.19
05,2021,Pants,447.02001190185547,10,521.480001449585,9,-14.28,11.11,28588.22,-28141.2,1.56
01,2022,Pants,1190.8400049209595,22,466.36000537872314,10,155.35,120.0,28588.22,-27397.38,4.17
12,2019,Sweaters,420.9100046157837,8,454.31999588012695,6,-7.35,33.33,62684.14,-62263.23,0.67
04,2021,Sweaters,1414.8600120544434,19,945.6900043487549,17,49.61,11.76,62684.14,-61269.28,2.26
06,2021,Underwear,394.75999641418457,11,290.95999908447266,12,35.68,-8.33,13897.71,-13502.95,2.84
08,2020,Sleep & Lounge,1067.0500106811523,14,325.1100044250488,10,228.21,40.0,42903.37,-41836.32,2.49
07,2021,Sleep & Lounge,1544.7499980926514,25,529.8200044631958,13,191.56,92.31,42903.37,-41358.62,3.6
09,2022,Accessories,1804.510010957718,34,1616.3799948692322,38,11.64,-10.53,26603.63,-24799.12,6.78
01,2022,Shorts,613.5100049972534,17,1245.7500047683716,27,-50.75,-37.04,40461.14,-39847.63,1.52
10,2022,Shorts,1722.8200035095215,42,1833.5300149917603,41,-6.04,2.44,40461.14,-38738.32,4.26
05,2020,Socks & Hosiery,58.85000038146973,3,60.989999771118164,4,-3.51,-25.0,4486.09,-4427.24,1.31
06,2020,Socks & Hosiery,182.47999954223633,7,58.85000038146973,3,210.08,133.33,4486.09,-4303.61,4.07
05,2022,Outerwear & Coats,5296.49002456665,34,2997.6399936676025,20,76.69,70.0,92269.41,-86972.92,5.74
07,2022,Outerwear & Coats,4577.949989318848,32,5312.549987792969,37,-13.83,-13.51,92269.41,-87691.46,4.96
03,2021,Socks,175.17000102996826,10,263.82000255584717,14,-33.6,-28.57,11152.46,-10977.29,1.57
04,2021,Suits & Sport Coats,1621.4500045776367,8,691.3899974822998,6,134.52,33.33,37540.93,-35919.48,4.32
08,2021,Suits & Sport Coats,2498.5,13,1011.9399967193604,6,146.9,116.67,37540.93,-35042.43,6.66
08,2019,Swim,495.6699924468994,6,250.9900016784668,4,97.49,50.0,51938.09,-51442.42,0.95
02,2020,Swim,568.2200031280518,9,334.89999771118164,8,69.67,12.5,51938.09,-51369.87,1.09
07,2019,Jeans,182.5,4,228.0,3,-19.96,33.33,104775.99,-104593.49,0.17
12,2020,Jeans,1987.4599990844727,19,2445.7100105285645,20,-18.74,-5.0,104775.99,-102788.53,1.9
11,2021,Tops & Tees,2110.4000034332275,36,1010.13001537323,26,108.92,38.46,43226.71,-41116.31,4.88
01,2022,Tops & Tees,1817.7900142669678,42,1121.8499994277954,25,62.04,68.0,43226.71,-41408.92,4.21
07,2021,Jumpsuits & Rompers,167.0,2,17.309999465942383,1,864.76,100.0,3912.26,-3745.26,4.27
05,2022,Jumpsuits & Rompers,24.899999618530277,1,233.63999938964844,3,-89.34,-66.67,3912.26,-3887.36,0.64
10,2022,Jumpsuits & Rompers,246.3300018310547,4,151.0200023651123,3,63.11,33.33,3912.26,-3665.93,6.3
01,2020,Skirts,110.6500015258789,4,247.7999973297119,4,-55.35,0.0,7656.76,-7546.11,1.45
11,2019,Pants & Capris,197.75,3,139.83000564575195,4,41.42,-25.0,17698.46,-17500.71,1.12
10,2021,Pants & Capris,413.3500003814697,9,409.49999809265137,7,0.94,28.57,17698.46,-17285.11,2.34
04,2020,Plus,276.1999969482422,7,67.0,2,312.24,250.0,14595.76,-14319.56,1.89
09,2021,Maternity,647.3399982452393,14,708.5699996948242,10,-8.64,40.0,20134.59,-19487.25,3.22
12,2020,Suits,97.47000122070312,1,227.4600067138672,2,-57.15,-50.0,13194.37,-13096.9,0.74
03,2019,Fashion Hoodies & Sweatshirts,63.950000762939446,2,98.94000244140625,2,-35.36,0.0,51880.44,-51816.49,0.12
06,2020,Fashion Hoodies & Sweatshirts,979.1099967956543,20,709.6300029754639,13,37.97,53.85,51880.44,-50901.33,1.89
02,2021,Sweaters,1711.9900035858154,17,1093.9599990844727,16,56.49,6.25,62684.14,-60972.15,2.73
05,2021,Sweaters,2414.149984359741,22,1414.8600120544434,19,70.63,15.79,62684.14,-60269.99,3.85
07,2022,Underwear,591.480001449585,22,799.8100032806396,29,-26.05,-24.14,13897.71,-13306.23,4.26
07,2019,Sleep & Lounge,66.0,2,97.4000015258789,3,-32.24,-33.33,42903.37,-42837.37,0.15
